OneBody2_E-0.05_ecc0.8_RK4.txt
initial value : [x, y, v_x, v_y] = [2.00,0.00,0.00,0.95] , numerical interval dt = 0.02000 , [M, m] = [ 1, 1]

num|geodesic|
num|newtonian
num|degree, x, y, simple error, relative error
  1|0.000000,2.000000,0.000000,0.000000,0.000000
  2|0.009487,1.999950,0.018974,0.000090,0.004500
  3|0.018973,1.999800,0.037947,0.000360,0.017998
  4|0.028458,1.999550,0.056918,0.000810,0.040490
  5|0.037941,1.999200,0.075889,0.001440,0.071968
  6|0.047422,1.998750,0.094856,0.002250,0.112423
  7|0.056901,1.998200,0.113822,0.003239,0.161840
  8|0.066375,1.997551,0.132783,0.004408,0.220203
  9|0.075846,1.996802,0.151741,0.005757,0.287494
 10|0.085312,1.995952,0.170694,0.007286,0.363690
 11|0.094774,1.995004,0.189642,0.008993,0.448766
 12|0.104229,1.993955,0.208584,0.010880,0.542694
 13|0.113678,1.992808,0.227520,0.012946,0.645444
 14|0.123121,1.991561,0.246450,0.015191,0.756982
 15|0.132556,1.990214,0.265371,0.017614,0.877272
 16|0.141984,1.988769,0.284285,0.020216,1.006275
 17|0.151402,1.987225,0.303191,0.022996,1.143948
 18|0.160812,1.985581,0.322087,0.025954,1.290248
 19|0.170213,1.983839,0.340974,0.029089,1.445126
 20|0.179603,1.981999,0.359851,0.032402,1.608535
 21|0.188983,1.980060,0.378717,0.035892,1.780420
 22|0.198352,1.978023,0.397572,0.039559,1.960728
 23|0.207709,1.975887,0.416415,0.043403,2.149400
 24|0.217053,1.973654,0.435245,0.047422,2.346377
 25|0.226386,1.971324,0.454063,0.051617,2.551597
 26|0.235705,1.968896,0.472867,0.055988,2.764994
 27|0.245010,1.966370,0.491657,0.060534,2.986503
 28|0.254301,1.963748,0.510433,0.065254,3.216054
 29|0.263577,1.961029,0.529194,0.070148,3.453576
 30|0.272838,1.958213,0.547939,0.075216,3.698995
 31|0.282083,1.955301,0.566668,0.080458,3.952235
 32|0.291312,1.952293,0.585380,0.085872,4.213219
 33|0.300525,1.949189,0.604076,0.091459,4.481868
 34|0.309720,1.945990,0.622753,0.097218,4.758100
 35|0.318897,1.942696,0.641412,0.103148,5.041832
 36|0.328057,1.939306,0.660053,0.109249,5.332978
 37|0.337198,1.935822,0.678674,0.115520,5.631452
 38|0.346320,1.932244,0.697276,0.121962,5.937165
 39|0.355422,1.928571,0.715857,0.128572,6.250028
 40|0.364504,1.924805,0.734418,0.135351,6.569948
