OneBody2_E-0.05_ecc0.0_EU1.txt
initial value : [x, y, v_x, v_y] = [10.00,0.00,0.00,0.32] , numerical interval dt = 0.02000 , [M, m] = [ 1, 1]

num|geodesic|
num|newtonian
num|degree, x, y, simple error, relative error
  1|0.000000,10.000000,0.000000,0.000000,0.000000
  2|0.000632,10.000000,0.006325,0.000000,0.000000
  3|0.001265,9.999994,0.012649,0.000006,0.000060
  4|0.001897,9.999984,0.018974,0.000016,0.000160
  5|0.002530,9.999970,0.025298,0.000030,0.000300
  6|0.003162,9.999952,0.031623,0.000048,0.000480
  7|0.003795,9.999930,0.037947,0.000070,0.000700
  8|0.004427,9.999904,0.044272,0.000096,0.000960
  9|0.005060,9.999874,0.050596,0.000126,0.001260
 10|0.005692,9.999840,0.056921,0.000160,0.001600
 11|0.006325,9.999802,0.063245,0.000198,0.001980
 12|0.006957,9.999760,0.069570,0.000240,0.002400
 13|0.007589,9.999714,0.075894,0.000286,0.002860
 14|0.008222,9.999664,0.082218,0.000336,0.003360
 15|0.008854,9.999610,0.088543,0.000390,0.003900
 16|0.009487,9.999552,0.094867,0.000448,0.004480
 17|0.010119,9.999490,0.101191,0.000510,0.005100
 18|0.010752,9.999424,0.107516,0.000576,0.005760
 19|0.011384,9.999354,0.113840,0.000646,0.006460
 20|0.012017,9.999280,0.120164,0.000720,0.007200
 21|0.012649,9.999202,0.126488,0.000798,0.007980
 22|0.013282,9.999120,0.132812,0.000880,0.008800
 23|0.013914,9.999034,0.139136,0.000966,0.009660
 24|0.014547,9.998944,0.145460,0.001056,0.010560
 25|0.015179,9.998850,0.151784,0.001150,0.011500
 26|0.015811,9.998752,0.158108,0.001248,0.012480
 27|0.016444,9.998650,0.164431,0.001350,0.013500
 28|0.017076,9.998544,0.170755,0.001456,0.014560
 29|0.017709,9.998434,0.177079,0.001566,0.015660
 30|0.018341,9.998320,0.183402,0.001680,0.016800
 31|0.018974,9.998202,0.189726,0.001798,0.017980
 32|0.019606,9.998080,0.196049,0.001920,0.019199
 33|0.020239,9.997954,0.202373,0.002046,0.020459
 34|0.020871,9.997824,0.208696,0.002176,0.021759
 35|0.021504,9.997690,0.215019,0.002310,0.023099
 36|0.022136,9.997552,0.221342,0.002448,0.024479
 37|0.022768,9.997410,0.227665,0.002590,0.025899
 38|0.023401,9.997264,0.233988,0.002736,0.027359
 39|0.024033,9.997114,0.240311,0.002886,0.028859
 40|0.024666,9.996960,0.246634,0.003040,0.030399
 41|0.025298,9.996802,0.252956,0.003198,0.031979
 42|0.025931,9.996640,0.259279,0.003360,0.033598
 43|0.026563,9.996474,0.265601,0.003526,0.035258
 44|0.027196,9.996304,0.271924,0.003696,0.036958
 45|0.027828,9.996130,0.278246,0.003870,0.038698
 46|0.028461,9.995952,0.284568,0.004048,0.040478
 47|0.029093,9.995770,0.290890,0.004230,0.042297
 48|0.029726,9.995584,0.297212,0.004416,0.044157
 49|0.030358,9.995394,0.303533,0.004606,0.046057
 50|0.030990,9.995200,0.309855,0.004800,0.047997
 51|0.031623,9.995002,0.316177,0.004998,0.049976
 52|0.032255,9.994800,0.322498,0.005200,0.051996
 53|0.032888,9.994594,0.328819,0.005406,0.054056
 54|0.033520,9.994384,0.335140,0.005616,0.056155
 55|0.034153,9.994171,0.341461,0.005829,0.058295
 56|0.034785,9.993953,0.347782,0.006047,0.060475
 57|0.035418,9.993731,0.354103,0.006269,0.062694
 58|0.036050,9.993505,0.360424,0.006495,0.064954
 59|0.036683,9.993275,0.366744,0.006725,0.067253
 60|0.037315,9.993041,0.373064,0.006959,0.069593
 61|0.037948,9.992803,0.379385,0.007197,0.071972
 62|0.038580,9.992561,0.385705,0.007439,0.074392
 63|0.039212,9.992315,0.392024,0.007685,0.076851
 64|0.039845,9.992065,0.398344,0.007935,0.079350
 65|0.040477,9.991811,0.404664,0.008189,0.081890
 66|0.041110,9.991553,0.410983,0.008447,0.084469
 67|0.041742,9.991291,0.417302,0.008709,0.087088
 68|0.042375,9.991025,0.423621,0.008975,0.089748
 69|0.043007,9.990755,0.429940,0.009245,0.092447
 70|0.043640,9.990481,0.436259,0.009519,0.095186
 71|0.044272,9.990203,0.442577,0.009797,0.097965
 72|0.044905,9.989922,0.448896,0.010078,0.100784
 73|0.045537,9.989636,0.455214,0.010364,0.103644
 74|0.046170,9.989346,0.461532,0.010654,0.106543
 75|0.046802,9.989052,0.467850,0.010948,0.109482
 76|0.047435,9.988754,0.474167,0.011246,0.112461
 77|0.048067,9.988452,0.480485,0.011548,0.115479
 78|0.048699,9.988146,0.486802,0.011854,0.118538
 79|0.049332,9.987836,0.493119,0.012164,0.121637
 80|0.049964,9.987522,0.499436,0.012478,0.124776
 81|0.050597,9.987205,0.505753,0.012795,0.127955
 82|0.051229,9.986883,0.512069,0.013117,0.131173
 83|0.051862,9.986557,0.518385,0.013443,0.134432
 84|0.052494,9.986227,0.524701,0.013773,0.137731
 85|0.053127,9.985893,0.531017,0.014107,0.141069
 86|0.053759,9.985555,0.537333,0.014445,0.144448
 87|0.054392,9.985213,0.543648,0.014787,0.147866
 88|0.055024,9.984868,0.549963,0.015132,0.151324
 89|0.055657,9.984518,0.556278,0.015482,0.154823
 90|0.056289,9.984164,0.562593,0.015836,0.158361
 91|0.056921,9.983806,0.568908,0.016194,0.161939
 92|0.057554,9.983444,0.575222,0.016556,0.165557
 93|0.058186,9.983078,0.581536,0.016922,0.169215
 94|0.058819,9.982709,0.587850,0.017291,0.172913
 95|0.059451,9.982335,0.594164,0.017665,0.176651
 96|0.060084,9.981957,0.600477,0.018043,0.180429
 97|0.060716,9.981575,0.606790,0.018425,0.184247
 98|0.061349,9.981190,0.613103,0.018810,0.188105
 99|0.061981,9.980800,0.619416,0.019200,0.192002
100|0.062614,9.980406,0.625728,0.019594,0.195940
101|0.063246,9.980008,0.632040,0.019992,0.199917
102|0.063879,9.979607,0.638352,0.020393,0.203935
103|0.064511,9.979201,0.644664,0.020799,0.207992
104|0.065144,9.978791,0.650975,0.021209,0.212089
105|0.065776,9.978377,0.657286,0.021623,0.216226
106|0.066409,9.977960,0.663597,0.022040,0.220404
107|0.067041,9.977538,0.669908,0.022462,0.224621
108|0.067673,9.977112,0.676218,0.022888,0.228877
109|0.068306,9.976683,0.682528,0.023317,0.233174
110|0.068938,9.976249,0.688838,0.023751,0.237511
111|0.069571,9.975811,0.695148,0.024189,0.241888
112|0.070203,9.975370,0.701457,0.024630,0.246304
113|0.070836,9.974924,0.707766,0.025076,0.250761
114|0.071468,9.974474,0.714075,0.025526,0.255257
115|0.072101,9.974021,0.720383,0.025979,0.259793
116|0.072733,9.973563,0.726691,0.026437,0.264369
117|0.073366,9.973101,0.732999,0.026899,0.268985
118|0.073998,9.972636,0.739306,0.027364,0.273641
119|0.074631,9.972166,0.745614,0.027834,0.278337
120|0.075263,9.971693,0.751921,0.028307,0.283073
121|0.075896,9.971215,0.758227,0.028785,0.287849
122|0.076528,9.970734,0.764534,0.029266,0.292664
123|0.077160,9.970248,0.770840,0.029752,0.297520
124|0.077793,9.969759,0.777145,0.030241,0.302415
125|0.078425,9.969265,0.783451,0.030735,0.307350
126|0.079058,9.968768,0.789756,0.031232,0.312325
127|0.079690,9.968266,0.796061,0.031734,0.317340
128|0.080323,9.967761,0.802365,0.032239,0.322395
129|0.080955,9.967251,0.808669,0.032749,0.327489
130|0.081588,9.966738,0.814973,0.033262,0.332624
131|0.082220,9.966220,0.821277,0.033780,0.337798
132|0.082853,9.965699,0.827580,0.034301,0.343013
133|0.083485,9.965173,0.833883,0.034827,0.348267
134|0.084118,9.964644,0.840185,0.035356,0.353561
135|0.084750,9.964111,0.846488,0.035889,0.358895
136|0.085383,9.963573,0.852789,0.036427,0.364268
137|0.086015,9.963032,0.859091,0.036968,0.369682
138|0.086648,9.962486,0.865392,0.037514,0.375135
139|0.087280,9.961937,0.871693,0.038063,0.380629
140|0.087913,9.961384,0.877993,0.038616,0.386162
141|0.088545,9.960827,0.884294,0.039173,0.391735
142|0.089177,9.960265,0.890593,0.039735,0.397348
143|0.089810,9.959700,0.896893,0.040300,0.403000
144|0.090442,9.959131,0.903192,0.040869,0.408693
145|0.091075,9.958557,0.909491,0.041443,0.414425
146|0.091707,9.957980,0.915789,0.042020,0.420197
147|0.092340,9.957399,0.922087,0.042601,0.426009
148|0.092972,9.956814,0.928384,0.043186,0.431861
149|0.093605,9.956225,0.934682,0.043775,0.437753
150|0.094237,9.955632,0.940979,0.044368,0.443685
151|0.094870,9.955034,0.947275,0.044966,0.449656
152|0.095502,9.954433,0.953571,0.045567,0.455667
153|0.096135,9.953828,0.959867,0.046172,0.461718
154|0.096767,9.953219,0.966162,0.046781,0.467809
155|0.097400,9.952606,0.972457,0.047394,0.473940
156|0.098032,9.951989,0.978752,0.048011,0.480110
157|0.098665,9.951368,0.985046,0.048632,0.486320
158|0.099297,9.950743,0.991340,0.049257,0.492570
159|0.099930,9.950114,0.997633,0.049886,0.498860
160|0.100562,9.949481,1.003926,0.050519,0.505190
161|0.101194,9.948844,1.010219,0.051156,0.511559
